"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
Me fail English? That's unpossible.,Ralph Wiggum
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
They taste like...burning.,Ralph Wiggum
I think women and seamen don't mix,Waylon Smithers
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
Oh Yeah!,Duffman
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
Oh Yeah!,Duffman
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Oh Yeah!,Duffman
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
My eyes! The goggles do nothing!,Rainier Wolfcastle
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
Doughnuts? I told you I don't like ethnic food,Mr. Burns
I'm sleeping in the bath tub.,Marge Simpson
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
I think women and seamen don't mix,Waylon Smithers
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Eat my shorts,Bart Simpson
Thank you. Come again.,Apu Nahasapeemapetilon
Me fail English? That's unpossible.,Ralph Wiggum
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
I think women and seamen don't mix,Waylon Smithers
They taste like...burning.,Ralph Wiggum
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
Doughnuts? I told you I don't like ethnic food,Mr. Burns
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
Doughnuts? I told you I don't like ethnic food,Mr. Burns
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
I'm sleeping in the bath tub.,Marge Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
