Marriage is like a coffin and each kid is another nail.,Homer Simpson
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Ahh! Sweet liquor eases the pain.,Troy McClure
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
Thank you. Come again.,Apu Nahasapeemapetilon
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
"Shut up, brain. I got friends now. I don't need you anymore.",Lisa Simpson
"In theory, Communism works! In theory.",Homer Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
"In theory, Communism works! In theory.",Homer Simpson
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
Doughnuts? I told you I don't like ethnic food,Mr. Burns
Ahh! Sweet liquor eases the pain.,Troy McClure
Ahh! Sweet liquor eases the pain.,Troy McClure
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
Me fail English? That's unpossible.,Ralph Wiggum
"Oh, so they have Internet on computers now!",Homer Simpson
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
Oh Yeah!,Duffman
Ahh! Sweet liquor eases the pain.,Troy McClure
"Shut up, brain. I got friends now. I don't need you anymore.",Lisa Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
Facts are meaningless. You could use facts to prove anything that's even remotely true.,Homer Simpson
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
Thank you. Come again.,Apu Nahasapeemapetilon
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
My eyes! The goggles do nothing!,Rainier Wolfcastle
Me fail English? That's unpossible.,Ralph Wiggum
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
"Oh, wow, windows. I don't think I could afford this place.",Otto
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
